"fecha"	"cnt"
"2012-11-09"	"22"
"2012-11-10"	"30"
"2012-11-11"	"29"
"2012-11-12"	"27"
"2012-11-13"	"32"
"2012-11-14"	"21"
"2012-11-15"	"25"
"2012-11-16"	"14"
"2012-11-17"	"19"
"2012-11-18"	"16"
"2012-11-19"	"15"
"2012-11-20"	"32"
"2012-11-21"	"24"
"2012-11-22"	"24"
"2012-11-23"	"22"
"2012-11-24"	"22"
"2012-11-25"	"22"
"2012-11-26"	"19"
"2012-11-27"	"20"
"2012-11-28"	"19"
"2012-11-29"	"18"
"2012-11-30"	"14"
"2012-12-01"	"37"
"2012-12-02"	"29"
"2012-12-03"	"24"
"2012-12-04"	"23"
"2012-12-05"	"12"
"2012-12-06"	"17"
